address_raw,rooms_raw,area_raw,price_raw,title_raw,description_raw
"Hofwiesenstrasse, 8050 Zürich",3.5 Zimmer,125m²,CHF 7’210.–,Urbane Penthouse Oase mit Hotelservices - Lifestyle auf höchstem Niveau,"Wohnen über den Dächern von Zürich - Exklusive 3.5 Zimmerwohnung auf 3 Etagen im Oerlikon ONE (25.-27. Etage)Sind Sie bereit, Ihren Wohnhorizont neu zu definieren? Willkommen in Ihrem privatem Townhouse - mitten in der Stadt und gleichzeitig hoch darüber. Beginnen Sie den Tag mit einem Frühstückskaffee und Blick auf die Alpen, geniessen Sie den Feierabend mit einem Glas Wein und der Skyline von Zürich zu Ihren Füssen. Diese aussergewöhnlichen 3.5-Zimmer-Triplex-Apartments in den obersten Etagen des Oerlikon ONE vereinen urbanen Lifestyle mit exklusivem Wohnen und spektakulären Panoramaperspektiven.Auf drei Wohnebenen entfaltet sich ein modernes, grosszügiges Raumkonzept, das sowohl Rückzug als auch Offenheit bietet. Das absolute Highlight: die grosszügige Panoramaterrasse hoch über dem Alltag; ein Ort für Ruhe, Inspiration und besondere Momente.Ausstattung &amp; Highlights - Exklusive Panoramaterrasse mit atemberaubender Fernsicht- Einzigartige Raumaufteilung auf drei Etagen, ideal für Singles, Paare oder kleine Familien- Moderne, grosszügige Küche (Geräte Electrolux)- Drei stilvolle Badezimmer mit Badewanne und/oder Dusche- Eigene Waschmaschine &amp; Trockner in der Wohnung- Küche und Eingangsbereich: Plattenbelag, beige matt, Wohn- und Schlafzimmer: Eichenparkett - Separates Reduit für zusätzlichen Stauraum- Zwei Personenaufzüge im Gebäude- Tiefgaragenstellplätze können dazu gemietet werdenEinziehen statt einrichten Möchten Sie sofort einziehen und sich den zeitaufwendigen Möbelkauf sparen? Auf Wunsch besteht die Möglichkeit, die hochwertige Möblierung sowie die Beleuchtung zu übernehmen. So geniessen Sie von Anfang an ein stilvoll eingerichtetes Zuhause, ganz ohne Stress.Services, welche durch das Mama Shelter Hotel (www.mamashelter.com/zurich/) im selben Gebäude angeboten werden: - Kostenlose Gym Nutzung für 1 Jahr - F&amp;B Rabatte - nach Verfügbarkeit- Lieferungen aus dem Hotelrestaurant - gegen Gebühr- Spezialraten für Hotelzimmer - nach Verfügbarkeit- Housekeeping Services - gegen Gebühr- Dry Cleaning Services - gegen GebührTop-Lage: Zürich-Oerlikon Oerlikon ONE befindet sich im Herzen eines der dynamischsten Stadtteile Zürichs. Einkaufsmöglichkeiten, Restaurants, Kultur- und Freizeitangebote liegen in unmittelbarer Nähe. Der Bahnhof Oerlikon ist in wenigen Gehminuten erreichbar und bietet erstklassige Verbindungen ins Stadtzentrum sowie zum Flughafen - perfekt für urbanes und internationales Wohnen.Mehr Informationen Projektwebseite: https://oerlikon.one/de/ Besichtigung vereinbaren Möchten Sie dieses aussergewöhnliche Penthouse persönlich erleben? Kontaktieren Sie uns gerne per E-Mail unter vermarktung@smeyers.ch -wir freuen uns auf Ihre Anfrage!Living Above the Rooftops of Zurich ? Exclusive 3.5-Room Triplex Apartments at Oerlikon ONE (25th?27th Floors) Are you ready to redefine your living horizon?Welcome to your private townhouse ? right in the heart of the city and yet high above it all.Start your day with a morning coffee and views of the Alps, and unwind in the evening with a glass of wine while Zurich?s skyline stretches out beneath your feet. These exceptional 3.5-room triplex apartments on the top floors of Oerlikon ONE combine an urban lifestyle with exclusive living and breathtaking panoramic views.Spread across three living levels , a modern and generous floor plan unfolds, offering both privacy and openness. The absolute highlight: the spacious panoramic terrace, far above everyday life ? a place for tranquility, inspiration, and unforgettable moments.Features &amp; Highlights - Exclusive panoramic terrace with spectacular long-distance views- Unique three-level layout ? ideal for singles, couples, or small families- Modern, spacious kitchen (Electrolux appliances), matte beige tiled flooring- Three stylish bathrooms with bathtub and/or shower- Private washing machine &amp; dryer within the apartment- Kitchen and entrance area with matte beige tiles; living and bedrooms with oak parquet flooring- Separate storage room (réduit) for additional space- Two passenger elevators in the building- Underground parking spaces available for rentMove In Instead of Furnishing Would you like to move in immediately and avoid the time-consuming process of buying furniture? Upon request, the high-quality furnishings and lighting can be taken over. Enjoy a stylishly furnished home from day one ? completely stress-free.Services Provided by the Mama Shelter Hotel (located in the same building): - Free gym access for 1 year- F&amp;B discounts ? subject to availability- Food delivery from the hotel restaurant ? for a fee- Special rates for hotel rooms ? subject to availability- Housekeeping services ? for a fee- Dry cleaning services ? for a feePrime Location: Zurich-Oerlikon Oerlikon ONE is located in the heart of one of Zurich?s most dynamic districts. Shopping, restaurants, cultural venues, and leisure facilities are all within immediate reach.Zurich Oerlikon railway station is just a few minutes? walk away and offers excellent connections to the city center and the airport ? perfect for urban and international living.More InformationProject website: https://oerlikon.one/en/Arrange a ViewingWould you like to experience this exceptional penthouse in person?Feel free to contact us by email at vermarktung@smeyers.ch ? we look forward to hearing from you!"
"Bellerivestrasse, 8008 Zürich",3.5 Zimmer,115m²,CHF 3’500.–,"Fully Furnished 3.5-Room Apartment with Lake View, Zurich Seefeld","Fully Furnished 3.5-Room Apartment with Lake View, Zurich SeefeldThis attractive, renovated, and fully furnished period apartment is located in one of Zurich’s most sought-after residential areas, Seefeld. All three rooms face the lake, providing a pleasant and tranquil living atmosphere.The apartment comprises a living room, a study, and a bedroom. High-quality furnishings include complete furniture, a flat-screen television, as well as fixed-line and fiber-optic internet connections. Bi-weekly cleaning services are included in the rent.The apartment is situated in the popular lifestyle district of Seefeld, renowned for its diverse culinary offerings and numerous leisure opportunities. Tram stops for lines 11 and 15 are approximately a two-minute walk away, while Zurich Tiefenbrunnen railway station can be reached in about five minutes.The property is ideally suited for a single person or a couple.Interested parties are kindly requested to submit their complete application dossier, including proof of financial solvency, by email to the designated contact person. Applications with complete documentation will be given preference.Contact: lenz.sarina@gmail.comDiese attraktive, renovierte und vollständig möblierte Altbauwohnung befindet sich in einer der bevorzugtesten Wohnlagen Zürichs, im Seefeld. Sämtliche drei Zimmer sind zum See ausgerichtet und bieten eine angenehme Wohnatmosphäre.Die Wohnung verfügt über ein Wohnzimmer, ein Büro sowie ein Schlafzimmer. Zur hochwertigen Ausstattung gehören das komplette Mobiliar, ein Flachbildfernseher sowie ein Festnetz- und Glasfaser-Internetanschluss. Eine Reinigung alle zwei Wochen ist im Mietzins inbegriffen.Das Apartment liegt im beliebten Lifestyle-Quartier Seefeld, das durch ein vielfältiges gastronomisches Angebot sowie zahlreiche Freizeitmöglichkeiten überzeugt. Die Strassenbahnhaltestellen der Linien 11 und 15 sind in ca. zwei Gehminuten erreichbar, der Bahnhof Zürich Tiefenbrunnen in etwa fünf Minuten.Die Wohnung eignet sich ideal für eine Einzelperson oder ein Paar.Interessenten werden gebeten, ihr vollständiges Bewerbungsdossier inklusive Bonitätsnachweis per E-Mail an die zuständige Kontaktperson zu senden. Bewerbungen mit vollständigen Unterlagen werden bevorzugt berücksichtigt.Kontakt: lenz.sarina@gmail.com"
"Badenerstrasse 682, 8048 Zürich",2.5 Zimmer,88m²,CHF 3’250.–,Wohnen über den Dächern von Altstetten,"Im Projekt «TILIA» finden Sie 72 stilvolle 1.5 bis 4.5-Zimmer-Wohnungen und Gewerbeflächen im Erdgeschoss.Das von den renommierten Basler Architekten Herzog &amp; de Meuron entworfene Projekt steht für hochwertige Verdichtung mit vielfältigen Grundrisstypologien in hoher Qualität. Die 2.5-Zimmer-Wohnung bietet folgende Vorzüge: • Helle Räume: alle Zimmer verfügen über hochwertige Parkettböden und grosse Fenster für viel natürliches Licht • Moderne Küche: mit Induktions-Kochfeld, Backofen, Kühl- Gefrierkombination und Geschirrspüler • Stilvolles Badezimmer: keramische Platten in edlem Indigo und Weiss, hochwertige Lavabos und eine Regendusche schaffen eine harmonische Wohlfühlatmosphäre • Private Loggia: lädt zum Verweilen ein, während die atemberaubende Weitsicht für entspannte Momente sorgt • Praktische Ausstattung: die Wohnung verfügt über einen eigenen Waschturm und ein grosszügiges Reduit Altstetten ist ein aufstrebender Stadtteil, der das Beste aus städtischen Leben und Naherholungsgebiet verbindet. Hier finden Sie Lebensqualität: Einkaufsmöglichkeiten, Restaurants, Sporteinrichtungen, Hallen- und Freibad, Schulen und Weiteres in Gehdistanz<span id=""acw_response_data"" aria-hidden=""true"" style=""width: 0; height: 0; overflow: hidden; display: inline-block; opacity: 0""> 0294 55 166 7 08 58 061 cd</span>. Haben wir Ihr Interesse geweckt?Gerne stehen wir Ihnen bei Fragen zur Verfügung und würden uns freuen Sie als neuen Mieter begrüssen zu dürfen."
"Freihofstrasse 23, 8048 Zürich",2.5 Zimmer,60m²,CHF 2’620.–,Neubau: ALTO - Wohnen auf der Höhe der Zeit,"Im boomenden Kreis 9 in Zürich wächst etwas Grossartiges heran: ALTO, ein 80 Meter hoher Turm mit 149 Mietwohnungen zwischen 1.5 und 4.5 Zimmern. Hier geniessen Sie nicht nur einen spektakulären Blick auf die City Skyline, sondern auch modernen Wohnkomfort auf höchstem Niveau. Der Bezugstermin ist ab Mitte März und April 2026 geplant. Projekt-Highlights: • 149 Mietwohnungen in verschiedenen Grössen (1.5 bis 4.5 Zimmer) • 80 Meter hoch - beeindruckende Architektur mit Weitblick • Vier-Jahreszeiten-Zimmer: Innenräume, in denen die Grenze zwischen Innen- und Aussenraum durch grosse Fensterfronten verschwindet • Mietbare Terrasse im 1. OG - ein Ort der Erholung und Begegnung, ausgerichtet nach Südwesten • Stadtloggia als lebendiger Quartiertreff - fördert den Austausch unter den Bewohnerinnen und Bewohnern • Lebensmittelgeschäft Lidl direkt im Gebäude - täglicher Einkauf bequem und zeitsparend • Nachhaltige Bauweise • Mietbare Gemeinschaftsräume im 1. OG - Raum für Kreativität und Austausch Wohnungsmix • 19x 1.5 Zimmer-Wohnungen Zwischen CHF 2'260.00 &amp; 2'630.00 • 76x 2.5 Zimmer-Wohnungen Zwischen CHF 2'620.00 &amp; 3'960.00 • 30x 3.5 Zimmer-Wohnungen Zwischen CHF 3'660.00 &amp; 3'970.00 • 24x 4.5 Zimmer-Wohnungen Zwischen CHF 4'090.00 &amp; 4'860.00 Lebensqualität und GemeinschaftDer ALTO-Tower bietet nicht nur ein schönes Zuhause mit viel Privatsphäre, sondern auch zahlreiche Möglichkeiten für den sozialen Austausch. Die grosszügigen mietbaren Gemeinschaftsräume und der Dachgarten im 1. OG dienen als Orte der Begegnung und Erholung. Durch die Stadtloggia wird der ALTO-Tower zu einem lebendigen Treffpunkt für das gesamte Quartier. Nachhaltigkeit im FokusALTO wird SNBS-Gold zertifiziert und erfüllt somit hohe Nachhaltigkeitsanforderungen. Jetzt bewerben!Es ist soweit - ab sofort ist das vollständige Wohnungsangebot online verfügbar. Nutzen Sie jetzt Ihre Chance und sichern Sie sich Ihre Traumwohnung. Besuchen Sie unsere Webseite www.alto-tower.ch, um mehr über das Projekt zu erfahren und sich direkt zu bewerben. Der Bezug der Wohnungen ist ab Mitte März und April 2026 geplant. Wir freuen uns auf Ihre Bewerbung!"
"Schwingerstrasse 5, 8006 Zürich",2.5 Zimmer,70m²,CHF 3’600.–,Über den Dächern von Zürich,"Die Penthouse-Wohnung ist in einem ruhigen, kleinen Mehrfamilienhaus oberhalb der Flussbadi Oberer Letten, nahe zu ETH und Uni. Sie wurde soeben anlässlich einer Dachaufstockung neu gebaut. Entstanden ist eine nordisch anmutende Wohnung mit Blick über die Stadt Zürich zum Üetliberg. Mit dem Wohnungseingang, welcher ein Geschoss tiefer liegt, der einfachen Materialwahl und den hohen Räumen (2.8m bis zum First) entsteht ein grosszügiges Raumgefühl. Die Wohnung hat 2.5 Zimmer und 70m2 Bodenfläche. Sie verfügt über eine eigene Waschmaschine / Tumbler, Küche mit Geschirrspühler, Cheminée, Balkon und ein separates Reduit. Sie ist einfach und schlicht möbliert; nebst dem grossen Doppelbett im gemütlichen Schlafzimmer kann zusätzlich das Sofa zu einem Bettsofa umgebaut werden, so dass auch mal bis zu vier Personen übernachten können.Die Wohnung wird befristet vermietet, mind. 3 Monate und maximal 2 Jahre.Besichtigung und Kontakt • Besichtigung Samstag gemäss persönlicher Vereinbarung • Kontakt Peter Moor • Email: info@petermoor.ch FAQs zum Kontakt"
"Diggelmannstrasse 33, 8047 Zürich",2 Zimmer,44m²,CHF 2’400.–,2-Zimmer-Studio (inkl. Tiefgaragenplatz und Nebenkosten) in Albisrieden,N/A
"Buchholzstrasse 13, 8053 Zürich",5.5 Zimmer,122m²,CHF 4’650.–,Erstvermietung Neubau: 5.5-Zimmer Wohnung im Wohnpark Buchholzstrasse,N/A
"Buchholzstrasse 9, 8053 Zürich",3.5 Zimmer,79m²,CHF 3’100.–,Erstvermietung Neubau: luxuriöse 3.5-Zimmerwohnung im Wohnpark Buchholzstrasse,N/A
8003 Zürich,2.5 Zimmer,76m²,CHF 3’090.–,Neubau: ALTO - Wohnen auf der Höhe der Zeit,"Im boomenden Kreis 9 in Zürich wächst etwas Grossartiges heran: ALTO, ein 80 Meter hoher Turm mit 149 Mietwohnungen zwischen 1.5 und 4.5 Zimmern direkt neben dem Stadion Letzigrund. Hier geniessen Sie nicht nur einen spektakulären Blick auf die City Skyline, sondern auch modernen Wohnkomfort auf höchstem Niveau. Der Bezugstermin ist ab Mitte März und April 2026 geplant. Projekt-Highlights: • 149 Mietwohnungen in verschiedenen Grössen (1.5 bis 4.5 Zimmer) • 80 Meter hoch - beeindruckende Architektur mit Weitblick • Vier-Jahreszeiten-Zimmer: Innenräume, in denen die Grenze zwischen Innen- und Aussenraum durch grosse Fensterfronten verschwindet • Mietbare Terrasse im 1. OG - ein Ort der Erholung und Begegnung, ausgerichtet nach Südwesten • Stadtloggia als lebendiger Quartiertreff - fördert den Austausch unter den Bewohnerinnen und Bewohnern • Lebensmittelgeschäft Lidl direkt im Gebäude - täglicher Einkauf bequem und zeitsparend • Nachhaltige Bauweise • Mietbare Gemeinschaftsräume im 1. OG - Raum für Kreativität und Austausch Wohnungsmix • 19x 1.5 Zimmer-Wohnungen Zwischen CHF 2'260.00 &amp; 2'630.00 • 76x 2.5 Zimmer-Wohnungen Zwischen CHF 2'620.00 &amp; 3'960.00 • 30x 3.5 Zimmer-Wohnungen Zwischen CHF 3'660.00 &amp; 3'970.00 • 24x 4.5 Zimmer-Wohnungen Zwischen CHF 4'090.00 &amp; 4'860.00 Lebensqualität und GemeinschaftDer ALTO-Tower bietet nicht nur ein schönes Zuhause mit viel Privatsphäre, sondern auch zahlreiche Möglichkeiten für den sozialen Austausch. Die grosszügigen mietbaren Gemeinschaftsräume und der Dachgarten im 1. OG dienen als Orte der Begegnung und Erholung. Durch die Stadtloggia wird der ALTO-Tower zu einem lebendigen Treffpunkt für das gesamte Quartier. Nachhaltigkeit im FokusALTO wird SNBS-Gold zertifiziert und erfüllt somit hohe Nachhaltigkeitsanforderungen. Jetzt bewerben!Es ist soweit - ab sofort ist das vollständige Wohnungsangebot online verfügbar. Nutzen Sie jetzt Ihre Chance und sichern Sie sich Ihre Traumwohnung. Besuchen Sie unsere Webseite www.alto-tower.ch, um mehr über das Projekt zu erfahren und sich direkt zu bewerben. Der Bezug der Wohnungen ist ab Mitte März und April 2026 geplant. Wir freuen uns auf Ihre Bewerbung!"
"Buchholzstrasse 13, 8053 Zürich",4.5 Zimmer,93m²,CHF 4’070.–,Erstvermietung Neubau: 4.5-Zimmer Wohnung im Wohnpark Buchholzstrasse,N/A
"Roswiesenstrasse 133, 8051 Zürich",4.5 Zimmer,124m²,CHF 3’830.–,N/A,N/A
"Hofwiesenstrasse, 8057 Zürich",6 Zimmer,158m²,CHF 6’630.–,Moderne 6-Zimmer-Dachwohnung mit Panoramablick in Zürich Affoltern,"Entdecken Sie diese aussergewöhnliche 6-Zimmer-Dachwohnung im 6. Stock eines modernen Gebäudes aus dem Jahr 2016 an der Hofwiesenstrasse. Mit grosszügigen 158 m² Wohnfläche bietet diese lichtdurchflutete Wohnung höchsten Wohnkomfort und eine wunderschöne Aussicht.Die Wohnung überzeugt mit: • Grosszügige Raumaufteilung: 6 Zimmer bieten vielfältige Nutzungsmöglichkeiten für Familien oder als Home-Office • Privater Balkon: Perfekt zum Entspannen mit herrlicher Aussicht • Moderne Ausstattung: Minergie-zertifiziert für optimale Energieeffizienz • Komfortable Infrastruktur: Lift, Garage und Parkplatz vorhanden • Barrierefreier Zugang: Rollstuhlgängig ausgestattet • Haustierfreundlich: Ihre vierbeinigen Familienmitglieder sind willkommen Lage und Umgebung: Die Wohnung befindet sich in ruhiger Lage mit ausgezeichneter Verkehrsanbindung. Die Tramhaltestelle Hirschwiesenstrasse ist nur 2 Gehminuten entfernt, Diese sonnige und ruhige Dachwohnung vereint modernen Wohnkomfort mit praktischer Lage und ist sofort verfügbar. Ideal für Familien oder alle, die grosszügiges Wohnen in zeitgemässer Ausstattung suchen."
"Hofwiesenstrasse, 8057 Zürich",6 Zimmer,158m²,CHF 6’630.–,Exklusive Attika-/Maisonette mit Stadtblick in Zürich,"Zur Vermietung steht eine attraktive, moderne 6-Zimmer-Maisonette-Wohnung in begehrter Attika-Lage. Die Wohnung überzeugt durch ihren hellen Ausbau, moderne Materialien und eine hervorragende Fernsicht.Die Liegenschaft befindet sich in exzellenter Lage, nur 2 Gehminuten vom Verkehrsknotenpunkt Bucheggplatz entfernt.Ausstattung &amp; Merkmale:• Typ: Attika-Maisonette (auf 2 Ebenen)• Zimmer: 6• Nasszellen: 2x WC/Dusche (modern ausgestattet)• Ambiente: Sehr hell, grosse Fensterfronten, moderne Bodenbeläge• Aussenbereich: Tolle Aussicht, 3 Terrasse• Parken: 2 Parkplätze vorhanden jeweils für 230.- CHF/MonateEine seltene Gelegenheit für urbane Menschen, die viel Platz benötigen und zentral wohnen möchten.Überzeugen Sie sich selbst von Qualität und Weitsicht. Gerne zeigen wir Ihnen diese exklusive Maisonette bei einer privaten Besichtigung.“"
"Herrligstrasse 7, 8048 Zürich",3.5 Zimmer,84m²,CHF 3’940.–,Urbanes Wohnen in Zürich Altstetten  moderne 3.5-Zimmer-Neubauwohnung,"loomi-altstetten.ch mittendrin. Zuhause.Mitten im lebendigen Zürich Altstetten entsteht Loomi ein modernes Wohnprojekt für alle, die das Stadtleben lieben und gleichzeitig Wert auf Qualität, Nachbarschaft und Rückzug legen. Hier findest du 43 stilvolle Mietwohnungen mit 1.5 bis 4.5 Zimmern, durchdachten Grundrissen, viel Licht, hochwertigen Materialien und einer eigenen Loggia in jeder Wohnung. Begegnungszonen und ein Spielplatz machen dein Zuhause auch draussen erlebbar.Dein neues Zuhause im Überblick: • 10 × 1.5-Zimmer-Wohnungen, ca. 36 m² • 19 × 2.5-Zimmer-Wohnungen, ca. 45 m² • 7 × 3.5-Zimmer-Wohnungen, ca. 78 m² • 7 × 4.5-Zimmer-Wohnungen, ca. 99 m² Wohnen mit allem, was du brauchst: • Einkaufsmöglichkeiten und ÖV in Gehdistanz • Hochwertige Ausstattung und stilvolle Architektur • Begrünte Aussenräume und ein eigener Spielplatz Perfekt angebunden mitten in Zürich AltstettenAlle aktuellen Informationen zum Projekt findest du auf www.loomi-altstetten.chDort kannst du dich auch gleich auf deine Wunschwohnung online Bewerben. Loomi wo das Leben einfach funktioniert."
"Weinbergstrasse 45, 8006 Zürich",2.5 Zimmer,94m²,CHF 5’400.–,N/A,N/A
"Götzstrasse 19, 8006 Zürich",2.5 Zimmer,68m²,CHF 3’390.–,N/A,N/A
"Dübendorfstrasse 311, 8051 Zürich",4.5 Zimmer,124m²,CHF 5’200.–,Erstvermietung 4.5-Zimmer-Attika-Wohnung mit 2 Terrassen,N/A
"Dienerstrasse 43, 8004 Zürich",1.5 Zimmer,35m²,CHF 2’750.–,N/A,N/A
"Gubelstrasse 64, 8050 Zürich",2.5 Zimmer,55m²,CHF 3’100.–,N/A,N/A
"Dienerstrasse 50, 8004 Zürich",3.5 Zimmer,N/A,CHF 3’390.–,N/A,N/A
"Bäckerstrasse 60, 8004 Zürich",2.5 Zimmer,56m²,CHF 3’440.–,N/A,N/A
"Bucheggstr. 130, 8057 Zürich",4.5 Zimmer,125m²,CHF 4’790.–,Moderne Attikawohnung mit Charakter im urbanen Kreis 6,"Per sofort oder nach Vereinbarung vermieten wir diese stilvolle, grosszügig geschnittene Attikawohnung mit offenem Grundriss und besonderem Flair. Ideal für alle, die ein aussergewöhnliches Wohnkonzept mit hochwertigem Ausbaustandard und urbanem Lebensgefühl schätzen.Hier gelangen Sie zum 3D-Rundgang; https://my.matterport.com/show/?m=vg9ftwLeHmJ- Offenes Wohnkonzept - Moderne Küche &amp; zwei stilvolle Bäder (Dusche/WC &amp; Doppelwaschtisch)- Fläche für eigenen Waschturm in der Wohnung- Zwei Terrassen mit Weitsicht- Kellerabteil inklusive- Aufzug vorhandenBesonderheit: Architektonisch gestaltete Lichtöffnungen in der Decke beim Treppenaufgang &amp; im Bad im OG sorgen für viel Tageslicht und einen einzigartigen Wohncharakter.Top Lage: Nahe Bucheggplatz, ETH Hönggerberg &amp; ÖV. Einkaufsmöglichkeiten in direkter Umgebung."
"Paulstrasse 2, 8008 Zürich",3.5 Zimmer,110m²,CHF 4’953.–,Modernes 3.5-Zimmer-Apartment mit Balkon in Top-Lage Zürich,N/A
"Jungstrasse 6, 8050 Zürich",4.5 Zimmer,132m²,CHF 6’570.–,ERSTVERMIETUNG - Stilvoll wohnen –  mit Tag der offenen Tür,N/A
"Binzmühlestrasse 227, 8046 Zürich",5.5 Zimmer,160m²,CHF 4’500.–,5.5 Zimmer Doppel-Einfamilienhaus,"Beschreibung:Für weitere Informationen oder zur Vereinbarung eines Besichtigungstermins wenden Sie sich bitte direkt an Herrn Ch. Böhm unter der Telefonnummer 079 423 59 53.Liebevoll renovierte Doppelhaushälfte mit idyllischem Eigengarten.Dieses liebevoll renovierte und gut unterhaltene Doppeleinfamilienhaus vereint heimeligen Wohncharakter, modernen Komfort und eine Ideale Lage. Der lauschige Garten bietet Platz zum Entspannen, Spielen oder Gärtnern. Ein eigener Parkplatz direkt vor dem Haus ist inklusive.Der Bahnhof Oerlikon ist in unmittelbarer Nähe, öffentliche Verkehrsmittel wie S-Bahn, Tram und Bus sind schnell erreichbar, und die Innenstadt Zürichs liegt nur wenige Minuten entfernt. Zahlreiche Naherholungsgebiete direkt vor der Tür ermöglichen Freizeit und Erholung in der Natur, während Sie gleichzeitig das urbane Leben Zürichs geniessen können.Erdgeschoss: Das Herzstück des Hauses bildet das helle und einladende Wohnzimmer, der Wohnkomfort und Gemütlichkeit vereint. Der grosszügige Eingangsbereich kann flexibel als Essbereich genutzt werden. Die gut ausgestattete Küche lädt zum Kochen ein, ein Gäste-WC ergänzt das Raumangebot. Durchgehend im Haus verlegt ist ein schöner Laminat, die geschwungene Holztreppe führt ins Obergeschoss.Obergeschoss: Drei Schlafzimmer schaffen Rückzugsorte mit Wohlfühlcharakter. Das Badezimmer ist modern ausgestattet und verfügt über eine Badewanne. Dachgeschoss: Das Dachgeschoss wurde ausgebaut zu einem wunderbaren Dachzimmer mit Dusche, Lavabo und WC. Untergeschoss: .	Büro oder Gästezimmer.	Zwei Kellerräume.	Wirtschaftsraum mit Waschmaschine, Tumbler und Lavabo.	Technikraum mit Boiler und Heizung (Fernwärme)Diese Räume sorgen für Ordnung und hohe Funktionalität.Dieses Haus ist perfekt für kleine Familien, Paare oder Einzelpersonen, die ein Zuhause mit Eigenheimcharakter, viel Privatsphäre und Wohlfühlatmosphäre suchen - hier sind auch Haustiere herzlich willkommen! Herr Christian Böhm zeigt Ihnen die Immobilie gerne persönlich. Ausstattung:Kontakt:Interessenten sind herzlich eingeladen, mit uns Kontakt aufzunehmen.Rufen Sie unseren Herrn Christian Böhm unter Telefon, 079 423 59 53 persönlich an, wenn Sie zusätzliche Informationen oder eine unverbindliche Besichtigung wünschen.Wir freuen uns, Sie bei der Erfüllung Ihrer Wohnträume begleiten zu dürfen."
"Seefeldstrasse 249, 8008 Zürich",3.5 Zimmer,99m²,CHF 4’399.–,Schöne Wohnung mit Balkon im Seefeld,"LageZürich ist eine Stadt, die sicher jedem etwas zu bieten hat, sei es wegen der einmaligen Lage am Zürichsee, dem Alpenpanorama oder den verschiedenen Naherholungsgebieten. Nicht zu vergessen ist auch die vielfältige Palette an Einkaufsmöglichkeiten, diversen Sport-/Freizeitaktivitäten sowie die bunte Palette an den verschiedensten kulturellen Angeboten.Im Seefeld, wo sich Ihr neues Zuhause befindet, sind Sie umgeben von Park- und Quai-Anlagen, dem Chinagarten und vielem mehr. Die beiden Seebäder Tiefenbrunnen und Utoquai, der Botanische Garten sowie die ehemalige Bierbrauerei und Mühle, die heute als Kultur- und Begegnungszentrum genutzt wird, runden dieses Bild noch ab. Sie werden sich im Seefeld, nicht nur wegen der gut funktionierenden Infrastrukturen und der verschiedenen Einkaufsmöglichkeiten ganz wie Daheim fühlen.Eine grosse Palette an Einkaufsmöglichkeiten, diverse Sport- und Freizeitaktivitäten sowie ein breit gefächertes kulturelles Angebot runden dieses Bild ab. Auch zu erwähnen sind die hervorragenden Infrastrukturen und die Lebensqualität, welche zur Dynamik des persönlichen Lebens beitragen.Ein Rundgang durch die WohnungDer durchdachte Grundriss lässt Ihnen die Freiheit, sich auf ca. 99 m2 individuell einzurichten und der Wohnung Ihre persönliche Note zu verleihen. Die Wohnung verfügt über eine helle Küche, ein geräumiges Wohnzimmer und ein Schlafzimmer. Der Bodenbelag und die hellen Räume sorgen für ein angenehmes Wohnklima. Weitere Vorzüge dieser Wohnung sind:- Grosszügiges Wohnzimmer- Küche- 2 Zimmer- Balkon- Bad/WC- schöne AussichtDetailsEs ist möglich eine Garagenbox ab CHF 308.00 zu mieten. Zudem haben Sie die Möglichkeit mit den nah gelegenen ÖV's schnell an jedes gewünschte Ziel zu gelangen.Anschreiben. Besichtigen. Mieten.Möchten Sie künftig den Tag in See-Nähe abschliessen?Bitte melden Sie sich für einen Besichtigungstermin bei der Verwaltung:Tel: 058 280 86 77E-Mail: susanne.andronic@helvetia.chAls Mieter von Helvetia profitieren Sie von 40% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Bei den publizierten Bildern handelt es sich um typenähnliche / typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/miete"
