offer_id;dealer_plz;dealer_city;dealer_street_house_nr;make;model;price_raw;camera_resolution_raw;battery_life_raw;storage_size_raw;screen_size_raw;description_raw
93303777;6311;Lugano;Sennstrasse 549;Samsung;Galaxy S24;CHF 1726.-;12 MP;19 hrs;512 GB;6.1 IN;Perfekt für Musikliebhaber mit hoher Audioqualität.
54585178;3130;Zollikon;Blaserstrasse 37;Samsung;Galaxy S20;CHF 6206.-;48 MP;31 hrs;512 GB;5.8 IN;Leistungsfähige Software für alle Ihre kreativen Ideen.
73174945;8431;Münchenstein;Hauserstrasse 2;Xiaomi;Mi 11T;CHF 690.-;12 MP;25 hrs;128 GB;5.8 IN;Perfekte Bildqualität auch bei direktem Sonnenlicht dank hellerem Display.
63481198;5678;Lancy;Kellerstrasse 1;Samsung;Galaxy S22;CHF 456.-;12 MP;26 hrs;64 GB;6.1 IN;Mit Stereo-Lautsprechern für kristallklare Audio-Erlebnisse.
81969657;3053;Buchs;Gloorstrasse 71;Google;Pixel 6;CHF 1987.-;108 MP;20 hrs;128 GB;6.1 IN;Mit Stereo-Lautsprechern für kristallklare Audio-Erlebnisse.
24549543;2491;Plan-les-Ouates;Kesslerstrasse 996;Apple;iPhone 13;CHF 6482.-;48 MP;19 hrs;512 GB;5.8 IN;Smarte Mitteilungen und Benachrichtigungen für den Überblick.
87388337;3278;Wald;Stuckistrasse 79;Xiaomi;Redmi Note 10;CHF 1093.-;20 MP;19 hrs;512 GB;5.8 IN;Genießen Sie lebendige Farben und Kontraste mit der AMOLED-Technologie.
36445607;9749;La Chaux-de-Fonds;Furrerstrasse 12;Google;Pixel 6;CHF 1373.-;16 MP;19 hrs;256 GB;6.7 IN;Leistungsstarker Grafikprozessor – ideal für mobile Gaming-Fans.
50308572;5030;Wald;Imhofstrasse 49;Xiaomi;Mi 11;CHF 1848.-;50 MP;34 hrs;128 GB;6.5 IN;Ein umfassendes App-Ökosystem für Unterhaltung und Produktivität.
99245317;9804;Freiburg;Betschartstrasse 85;Google;Pixel 8 Pro;CHF 868.-;12 MP;22 hrs;128 GB;5.8 IN;Multifunktionales Betriebssystem für maximalen Benutzerkomfort.
87844239;6202;Kriens;Bättigstrasse 6;Samsung;Galaxy S23;CHF 412.-;16 MP;20 hrs;128 GB;5.8 IN;Mit Stiftunterstützung für Kreativität und Präzision.
32775593;5875;Küsnacht;Felderstrasse 9;Google;Pixel 7a;CHF 859.-;12 MP;24 hrs;128 GB;6.7 IN;Große Auswahl an Themes für eine persönliche Gestaltung.
41523529;3345;Biel/Bienne;Schäferstrasse 31;Apple;iPhone 15;CHF 3525.-;16 MP;22 hrs;64 GB;6.9 IN;Großartiger Kundenservice und schnelle Updates für Problembehebungen.
19774839;3783;Langenthal;Wegmannstrasse 9;Google;Pixel 6a;CHF 1016.-;20 MP;15 hrs;64 GB;6.1 IN;Dual-SIM-Funktion für maximale Flexibilität im Beruf und Privatleben.
10744212;7707;Hinwil;Gloorstrasse 30;Xiaomi;Redmi 12 Pro;CHF 497.-;12 MP;23 hrs;128 GB;5.8 IN;Gestochen scharfe Bildqualität für atemberaubende Videos.
43446826;8052;Hinwil;Peterstrasse 299;Apple;iPhone 16;CHF 1916.-;12 MP;30 hrs;128 GB;5.8 IN;Mit Dual-Kamera-System für realistische Tiefenwirkung und beeindruckende Farben.
69401199;1030;Versoix;Islerstrasse 46;Xiaomi;Mi 11T;CHF 954.-;20 MP;24 hrs;128 GB;6.9 IN;Hervorragende Kameraqualität – perfekt für Social Media Posts.
44788100;5606;Brig-Glis;Gloorstrasse 68;Vivo;Vivo V21;CHF 946.-;48 MP;21 hrs;256 GB;6.1 IN;Gestochen scharfe Bildqualität für atemberaubende Videos.
20399639;1542;Brugg;Benzstrasse 5;Samsung;Galaxy S24;CHF 1161.-;12 MP;28 hrs;256 GB;5.8 IN;Modernste Gesichtserkennungstechnologie für Sicherheit.
61410126;2625;Siders;Kochstrasse 71;Google;Pixel 6a;CHF 561.-;12 MP;19 hrs;64 GB;5.8 IN;Lässt sich einfach mit anderen Smart-Home-Geräten verbinden.
37760841;5884;Payerne;Sidlerstrasse 7;Samsung;Galaxy S24;CHF 255.-;12 MP;22 hrs;128 GB;6.1 IN;Ideal für kreative Projekte – von Fotografie bis Videobearbeitung.
57212267;1276;Payerne;Schärerstrasse 84;Xiaomi;Redmi 12 Pro;CHF 666.-;50 MP;19 hrs;128 GB;5.8 IN;Schnelles kabelloses Laden für maximale Flexibilität und Komfort.
46632757;8746;Zofingen;Huberstrasse 986;Xiaomi;Redmi Note 11;CHF 1373.-;16 MP;29 hrs;512 GB;6.1 IN;Hochwertige Audioqualität für Musikliebhaber und Filmfreunde.
27129912;4783;St. Gallen;Furrerstrasse 99;Xiaomi;Mi 11;CHF 1195.-;12 MP;23 hrs;256 GB;6.5 IN;Aufgeteilt in benutzerfreundliche Kategorien für schnelle Navigation.
28213276;6855;Wald;Hotzstrasse 41;Vivo;Vivo X50;CHF 803.-;48 MP;25 hrs;64 GB;6.1 IN;Glasfaserverstärktes Gehäuse für extra Schutz und Haltbarkeit.
60885459;6862;Horw;Lüscherstrasse 1;Samsung;Galaxy S10;CHF 666.-;12 MP;18 hrs;128 GB;6.5 IN;Gesichtserkennung und Fingerabdrucksensor für maximalen Schutz.
56970882;3756;Plan-les-Ouates;Hoferstrasse 97;Xiaomi;Redmi Note 10;CHF 465.-;48 MP;25 hrs;128 GB;6.9 IN;Perfekte Bildqualität auch bei direktem Sonnenlicht dank hellerem Display.
42016960;4099;Burgdorf;Merzstrasse 50;Apple;iPhone 13;CHF 4172.-;20 MP;31 hrs;512 GB;6.1 IN;Leicht, kompakt und leistungsstark – ideal für den Alltag.
91321540;8984;Montreux;Burristrasse 136;Xiaomi;Mi 11;CHF 402.-;16 MP;20 hrs;64 GB;5.8 IN;Mit Stiftunterstützung für Kreativität und Präzision.
60372847;8621;Worb;Vogtstrasse 735;Apple;iPhone 14;CHF 17091.-;108 MP;15 hrs;512 GB;6.1 IN;Nahtlose Synchronisation mit Cloud-Diensten für Backups und Updates.
90585882;7154;Genf;Küngstrasse 373;Samsung;Galaxy S10;CHF 890.-;16 MP;26 hrs;64 GB;6.5 IN;Mit Dual-Kamera-System für realistische Tiefenwirkung und beeindruckende Farben.
11698142;7927;Altstätten;Christenstrasse 966;Vivo;Vivo X50;CHF 420.-;12 MP;22 hrs;64 GB;6.1 IN;Ideal für kreative Projekte – von Fotografie bis Videobearbeitung.
80027662;6988;Aigle;Eichenbergerstrasse 3;Xiaomi;Mi 11;CHF 1227.-;12 MP;18 hrs;256 GB;6.1 IN;Batterie, die sich an Ihre Nutzungsgewohnheiten anpasst.
89520597;6833;Wädenswil;Bosshardstrasse 25;Google;Pixel 8;CHF 2237.-;20 MP;23 hrs;128 GB;6.5 IN;Professionelle Bildbearbeitung direkt auf dem Gerät mit High-End-Software.
91917334;1520;Thun;Schneiderstrasse 416;Google;Pixel 6a;CHF 2423.-;48 MP;18 hrs;64 GB;6.1 IN;Integrierter Schrittzähler und Fitnesstracker für aktive Nutzer.
44675473;5199;Bulle;Kesslerstrasse 13;Xiaomi;Redmi Note 10;CHF 203.-;12 MP;26 hrs;128 GB;5.8 IN;Ultra-HD-Display für eine atemberaubende Bildqualität und Details.
42394260;4209;Winterthur;Widmerstrasse 96;Google;Pixel 8;CHF 357.-;16 MP;15 hrs;128 GB;5.8 IN;Lässt sich einfach mit Ihrem Smartwatch synchronisieren.
12314351;2054;Lenzburg;Ottstrasse 6;Xiaomi;Redmi Note 11;CHF 548.-;16 MP;18 hrs;256 GB;6.1 IN;Langlebige Batterie mit Schnellladefunktion, die den ganzen Tag durchhält.
81259135;5652;Reinach;Schmidstrasse 85;Google;Pixel 6a;CHF 224.-;12 MP;20 hrs;128 GB;6.1 IN;Energiesparmodus, der automatisch aktiviert wird, um Akku zu sparen.
35848226;3776;Muri;Bernasconistrasse 91;Xiaomi;Redmi 12 Pro;CHF 581.-;12 MP;27 hrs;128 GB;5.8 IN;Wasser- und staubdicht – ideal für Abenteuer und Outdoor-Aktivitäten.
89133014;3224;Thalwil;Stadelmannstrasse 753;Apple;iPhone SE;CHF 1130.-;50 MP;21 hrs;64 GB;6.1 IN;Für ein unvergleichliches Multitasking-Erlebnis entwickelt.
50569669;5291;Bern;Steinerstrasse 20;Vivo;Vivo V23;CHF 547.-;12 MP;16 hrs;64 GB;5.8 IN;Perfekt für Fotografie-Liebhaber: Mit einer Kamera, die jeden Moment detailgetreu einfängt.
95613415;9873;Lugano;Hoferstrasse 96;Vivo;Vivo X60;CHF 406.-;12 MP;34 hrs;64 GB;6.7 IN;Gestochen scharfe Bildqualität für atemberaubende Videos.
16895666;5077;Volketswil;Mäderstrasse 52;Xiaomi;Mi 11;CHF 749.-;48 MP;23 hrs;128 GB;5.8 IN;Kompakt und leistungsstark – ideal für mobile Content-Creator.
30364454;7759;Thalwil;Kernstrasse 62;Xiaomi;Mi 11;CHF 1762.-;48 MP;20 hrs;128 GB;6.1 IN;Genießen Sie ultra-schnelles 5G für beste Konnektivität und Geschwindigkeit.
93002706;2526;Winterthur;Eugsterstrasse 3;Vivo;Vivo Y20;CHF 206.-;12 MP;19 hrs;256 GB;6.1 IN;Perfekte Bildqualität auch bei direktem Sonnenlicht dank hellerem Display.
93352876;3046;Sitten;Ritterstrasse 50;Vivo;Vivo V21;CHF 198.-;12 MP;24 hrs;512 GB;5.8 IN;Sicherheit auf höchstem Niveau mit erweiterten Schutzfunktionen.
42194159;9872;Regensdorf;Itenstrasse 7;Vivo;Vivo X50;CHF 603.-;50 MP;16 hrs;64 GB;5.8 IN;Ideal für Videotelefonie und Meetings unterwegs – glasklare Audioqualität.
41068214;5583;Bern;Felberstrasse 42;Vivo;Vivo X50;CHF 410.-;12 MP;25 hrs;128 GB;5.8 IN;Optimierte Kamera mit KI-Unterstützung für perfekte Schnappschüsse.
93893865;4962;Kriens;Wyssstrasse 53;Google;Pixel 8 Pro;CHF 4753.-;48 MP;16 hrs;512 GB;6.5 IN;Maximaler Datenschutz dank fortschrittlicher Sicherheitsstandards.
19584466;9141;Gland;Stuckistrasse 15;Samsung;Galaxy S22;CHF 1756.-;12 MP;16 hrs;512 GB;6.5 IN;Sicherheit auf höchstem Niveau mit erweiterten Schutzfunktionen.
50814428;4550;Grenchen;Staubstrasse 43;Samsung;Galaxy S21;CHF 1217.-;16 MP;27 hrs;128 GB;6.1 IN;Für intensives Gaming und kreative Bearbeitung entwickelt.
53261270;1577;La Tour-de-Peilz;Zehnderstrasse 435;Xiaomi;Redmi Note 10;CHF 612.-;16 MP;20 hrs;128 GB;6.7 IN;Mit Stiftunterstützung für Kreativität und Präzision.
46173157;5752;Renens;Wehrlistrasse 94;Google;Pixel 6;CHF 1128.-;12 MP;34 hrs;128 GB;5.8 IN;Minimalistisches Design, das in jede Umgebung passt.
95199362;3027;Regensdorf;Grafstrasse 79;Apple;iPhone 14;CHF 1350.-;16 MP;22 hrs;64 GB;6.1 IN;Ultra-weite Weitwinkelkamera für mehr Raum in jedem Foto.
65250068;7100;Muttenz;Rüeggstrasse 7;Apple;iPhone 16;CHF 399.-;12 MP;20 hrs;64 GB;5.8 IN;Lässt sich einfach mit anderen Smart-Home-Geräten verbinden.
43876400;4614;La Tour-de-Peilz;Itenstrasse 7;Xiaomi;Redmi Note 10;CHF 1234.-;16 MP;24 hrs;64 GB;5.8 IN;Optimierter Prozessor für blitzschnelles Arbeiten und Multitasking.
65465150;9943;Genf;Eichenbergerstrasse 99;Apple;iPhone 16;CHF 4873.-;48 MP;25 hrs;256 GB;6.1 IN;Elegantes Design trifft auf Funktionalität – der perfekte Begleiter für unterwegs.
45843681;4140;Möhlin;Bühlmannstrasse 10;Samsung;Galaxy S23;CHF 358.-;12 MP;30 hrs;128 GB;5.8 IN;Kompakte Größe bei maximaler Leistung – ideal für den Alltag.
42117961;7106;Chêne-Bougeries;Baumannstrasse 7;Samsung;Galaxy S21;CHF 916.-;12 MP;20 hrs;64 GB;6.1 IN;Einfache Anpassung der Displayfarbe für optimalen Komfort.
25228493;1876;Arbon;Wirthstrasse 99;Samsung;Galaxy S21;CHF 1445.-;16 MP;20 hrs;64 GB;6.5 IN;Glasfaserverstärktes Gehäuse für extra Schutz und Haltbarkeit.
74759996;8666;Le Grand-Saconnex;Benzstrasse 8;Apple;iPhone 14;CHF 2907.-;16 MP;29 hrs;256 GB;6.1 IN;Fortschrittliche Wasserkühlung für Gaming ohne Überhitzung.
19369750;9287;Opfikon;Zbindenstrasse 3;Samsung;Galaxy S22;CHF 848.-;16 MP;19 hrs;128 GB;6.7 IN;Gesichtserkennung und Fingerabdrucksensor für maximalen Schutz.
88777447;8211;Männedorf;Geigerstrasse 83;Xiaomi;Redmi Note 10;CHF 528.-;50 MP;20 hrs;64 GB;5.8 IN;Perfekt für die Familie: hohe Sicherheit und einfache Kindersicherung.
71115319;4401;Meilen;Hofmannstrasse 13;Xiaomi;Mi 11T;CHF 541.-;12 MP;22 hrs;128 GB;6.1 IN;Optimierter Prozessor für blitzschnelles Arbeiten und Multitasking.
61167978;4604;Aigle;Grossstrasse 130;Samsung;Galaxy S24;CHF 705.-;12 MP;18 hrs;64 GB;6.5 IN;Beeindruckende Akkulaufzeit und minimaler Ladeaufwand.
69096899;9930;Münchenstein;Zbindenstrasse 298;Samsung;Galaxy S22;CHF 1410.-;108 MP;19 hrs;128 GB;5.8 IN;Tolle Fotos auch bei schwachem Licht – fangen Sie besondere Momente ein.
45570755;6464;Schwyz;Bachmannstrasse 687;Vivo;Vivo V21;CHF 1177.-;12 MP;20 hrs;512 GB;5.8 IN;Ultra-HD-Display für eine atemberaubende Bildqualität und Details.
52501540;5551;Zollikon;Wolfstrasse 388;Vivo;Vivo V21;CHF 1349.-;16 MP;30 hrs;512 GB;5.8 IN;Flüssige Animationen und nahtloses Scrollen für ein tolles Erlebnis.
40532691;2369;Gossau;Gerberstrasse 56;Xiaomi;Redmi 12 Pro;CHF 304.-;12 MP;20 hrs;256 GB;5.8 IN;Perfekt für Musikliebhaber mit hoher Audioqualität.
50193656;3802;Pratteln;Lutzstrasse 4;Apple;iPhone 16;CHF 3460.-;108 MP;30 hrs;512 GB;6.1 IN;Großer Speicherplatz für all Ihre Apps, Fotos und Videos – ideal für Power-User.
65304649;5885;Ittigen;Bernasconistrasse 29;Apple;iPhone 15;CHF 1478.-;20 MP;17 hrs;128 GB;5.8 IN;Einsteigerfreundlich und intuitiv – perfekt für alle Altersgruppen.
88270025;2930;Oftringen;Lüscherstrasse 60;Samsung;Galaxy S20;CHF 711.-;12 MP;23 hrs;256 GB;5.8 IN;Robustes Design aus hochwertigen Materialien für lange Lebensdauer.
48605268;5603;Wald;Kälinstrasse 129;Samsung;Galaxy S22;CHF 1268.-;16 MP;25 hrs;64 GB;6.5 IN;Großartiger Kundenservice und schnelle Updates für Problembehebungen.
43567615;7249;Ecublens;Hirtstrasse 8;Vivo;Vivo X60;CHF 1203.-;12 MP;34 hrs;64 GB;6.9 IN;Dual-SIM-Funktion für maximale Flexibilität im Beruf und Privatleben.
87149951;9922;Delsberg;Friedlistrasse 44;Google;Pixel 6a;CHF 2311.-;108 MP;25 hrs;64 GB;6.1 IN;Nahtlose Integration in Ihre digitale Umgebung – perfekt für unterwegs.
16582607;3696;Oberwil;Walderstrasse 82;Google;Pixel 6;CHF 1605.-;108 MP;22 hrs;64 GB;6.7 IN;Mit Stiftunterstützung für Kreativität und Präzision.
43638559;2421;Martigny;Tannerstrasse 63;Xiaomi;Redmi Note 10;CHF 152.-;20 MP;17 hrs;64 GB;5.8 IN;Großartiger Kundenservice und schnelle Updates für Problembehebungen.
87789079;5522;Val-de-Ruz;Zehnderstrasse 524;Samsung;Galaxy S24;CHF 806.-;12 MP;20 hrs;128 GB;6.1 IN;Leistungsstarker Grafikprozessor – ideal für mobile Gaming-Fans.
82398083;9631;Crans-Montana;Schmidstrasse 5;Samsung;Galaxy S10;CHF 373.-;50 MP;18 hrs;64 GB;5.8 IN;Leistungsstarker Grafikprozessor – ideal für mobile Gaming-Fans.
49613214;2743;Bülach;Bernasconistrasse 4;Vivo;Vivo V23;CHF 1628.-;50 MP;27 hrs;512 GB;6.7 IN;Perfekt für Musikliebhaber mit hoher Audioqualität.
63339667;5153;Thalwil;Langstrasse 3;Google;Pixel 6;CHF 2065.-;16 MP;16 hrs;512 GB;6.5 IN;Optimierte Konnektivität für unterbrechungsfreies Arbeiten und Spielen.
45186708;5334;Cham;Favrestrasse 42;Google;Pixel 6;CHF 716.-;20 MP;19 hrs;64 GB;5.8 IN;Perfekt für die Familie: hohe Sicherheit und einfache Kindersicherung.
54024257;8313;Lenzburg;Mayerstrasse 47;Xiaomi;Redmi Note 10;CHF 412.-;12 MP;15 hrs;256 GB;6.7 IN;Hervorragende Kameraqualität – perfekt für Social Media Posts.
28760553;6464;Steinhausen;Wengerstrasse 564;Samsung;Galaxy S24;CHF 1535.-;12 MP;30 hrs;128 GB;6.1 IN;Blitzschnelle Ladezeiten dank modernster Prozessor-Technologie.
70887034;8334;Steinhausen;Ackermannstrasse 3;Apple;iPhone 15;CHF 7466.-;108 MP;16 hrs;512 GB;5.8 IN;Große Auswahl an Zubehör für Individualität und Funktionalität.
92631441;3797;Riehen;Jäggistrasse 89;Vivo;Vivo V21;CHF 1374.-;16 MP;28 hrs;256 GB;6.5 IN;Ergonomisches Design für höchsten Komfort bei langer Nutzung.
23335151;7996;Glarus;Bachmannstrasse 66;Google;Pixel 6;CHF 2979.-;16 MP;18 hrs;512 GB;6.7 IN;Flexible Foto- und Videofilter für kreative Aufnahmen.
26395999;1191;Küssnacht;Gfellerstrasse 92;Google;Pixel 8;CHF 1859.-;48 MP;20 hrs;128 GB;5.8 IN;Dual-SIM-Funktion für maximale Flexibilität im Beruf und Privatleben.
26901217;7757;Crans-Montana;Wirzstrasse 335;Apple;iPhone 14;CHF 1598.-;16 MP;20 hrs;64 GB;5.8 IN;Leistungsfähige Software für alle Ihre kreativen Ideen.
41272553;6715;Ostermundigen;Joststrasse 1;Vivo;Vivo X60;CHF 876.-;12 MP;26 hrs;128 GB;6.5 IN;Mit Stereo-Lautsprechern für kristallklare Audio-Erlebnisse.
33420607;3593;Ebikon;Siegriststrasse 66;Samsung;Galaxy S23;CHF 937.-;12 MP;26 hrs;512 GB;6.1 IN;Optimiert für Gaming und Multimedia: gestochen scharfes Bild und satte Audioqualität.
45617024;5285;Bulle;Michelstrasse 578;Apple;iPhone 14;CHF 961.-;12 MP;26 hrs;128 GB;5.8 IN;Elegantes Design trifft auf Funktionalität – der perfekte Begleiter für unterwegs.
78885632;3369;Romanshorn;Schulerstrasse 2;Samsung;Galaxy S24;CHF 2225.-;12 MP;15 hrs;128 GB;6.5 IN;Maximaler Datenschutz dank fortschrittlicher Sicherheitsstandards.
98436473;2725;Meyrin;Küngstrasse 84;Apple;iPhone 16;CHF 886.-;16 MP;30 hrs;256 GB;6.7 IN;Hervorragende Performance bei gleichzeitig niedrigerem Energieverbrauch.
24490391;6105;La Chaux-de-Fonds;Zbindenstrasse 9;Google;Pixel 7a;CHF 1167.-;16 MP;18 hrs;512 GB;6.1 IN;Ultra-weite Weitwinkelkamera für mehr Raum in jedem Foto.
94970119;6289;Lancy;Meyerstrasse 38;Xiaomi;Mi 11;CHF 1145.-;48 MP;16 hrs;64 GB;5.8 IN;Perfekt für die Familie: hohe Sicherheit und einfache Kindersicherung.
23311507;4976;Wald;Hunzikerstrasse 59;Vivo;Vivo Y20;CHF 265.-;12 MP;22 hrs;128 GB;6.1 IN;Für intensives Gaming und kreative Bearbeitung entwickelt.
